model,year,transmission,mileage,fuelType,tax,mpg,engineSize,brand,price
i3,2014,Automatic,34539,Hybrid,0,470.8,0.6,BMW,14495
i3,2014,Automatic,37161,Hybrid,0,470.8,0.6,BMW,14182
i3,2014,Automatic,42479,Hybrid,0,470.8,0.6,BMW,15450
i3,2015,Automatic,9886,Hybrid,0,470.8,0.6,BMW,17481
i3,2015,Automatic,33931,Hybrid,0,470.8,0.6,BMW,15498
i3,2015,Automatic,65800,Hybrid,0,470.8,0.6,BMW,14285
i3,2015,Automatic,79830,Hybrid,0,470.8,0.6,BMW,12500
i3,2015,Automatic,59000,Hybrid,0,470.8,0.6,BMW,14940
i3,2016,Automatic,8421,Hybrid,0,470.8,0.6,BMW,19490
i3,2016,Automatic,19995,Hybrid,0,470.8,0.6,BMW,19850
i3,2016,Automatic,20013,Hybrid,0,470.8,0.6,BMW,19875
i3,2016,Automatic,35446,Hybrid,0,470.8,0.6,BMW,16500
i3,2016,Automatic,43695,Hybrid,0,470.8,0.6,BMW,16482
i3,2016,Automatic,59945,Hybrid,0,470.8,0.6,BMW,14900
i3,2016,Automatic,68000,Hybrid,0,470.8,0.6,BMW,15990
i3,2016,Automatic,9990,Hybrid,0,470.8,0.6,BMW,18999
i3,2016,Automatic,25269,Hybrid,0,470.8,0.6,BMW,17100
i3,2016,Automatic,41063,Hybrid,0,470.8,0.6,BMW,17000
i3,2017,Automatic,20321,Hybrid,135,470.8,0.6,BMW,18999
i3,2017,Automatic,3976,Hybrid,135,470.8,0.6,BMW,22999
i3,2017,Automatic,10839,Hybrid,0,470.8,0.6,BMW,21898
i3,2017,Automatic,10900,Hybrid,140,470.8,0.6,BMW,21500
i3,2017,Automatic,16867,Hybrid,135,470.8,0.6,BMW,21494
i3,2017,Automatic,17338,Hybrid,135,470.8,0.6,BMW,19495
i3,2017,Automatic,20082,Hybrid,135,470.8,0.6,BMW,20495
i3,2017,Automatic,20929,Hybrid,135,470.8,0.6,BMW,19948
i3,2017,Automatic,21025,Hybrid,0,470.8,0.6,BMW,22495
i3,2017,Automatic,22063,Hybrid,0,470.8,0.6,BMW,21444
i3,2017,Automatic,23983,Hybrid,0,470.8,0.6,BMW,19000
i3,2017,Automatic,24041,Hybrid,0,470.8,0.6,BMW,21495
i3,2017,Automatic,26139,Hybrid,135,470.8,0.6,BMW,21490
i3,2017,Automatic,26965,Hybrid,140,470.8,0.6,BMW,19980
i3,2017,Automatic,28169,Hybrid,0,470.8,0.6,BMW,23751
i3,2017,Automatic,29851,Hybrid,0,470.8,0.6,BMW,19895
i3,2017,Automatic,33021,Hybrid,0,470.8,0.6,BMW,18995
i3,2017,Automatic,36429,Hybrid,0,470.8,0.6,BMW,18500
i3,2017,Automatic,41146,Hybrid,0,470.8,0.6,BMW,19998
i3,2017,Automatic,41949,Hybrid,140,470.8,0.6,BMW,19998
i3,2017,Automatic,19178,Hybrid,0,470.8,0.6,BMW,20000
i3,2017,Automatic,23956,Hybrid,135,470.8,0.6,BMW,19500
i3,2017,Automatic,32867,Hybrid,0,470.8,0.6,BMW,19300
i3,2017,Automatic,50867,Hybrid,135,470.8,0.6,BMW,17600
Q2,2019,Manual,2756,Petrol,145,42.2,1,Audi,24995
Q2,2019,Manual,7178,Petrol,145,42.2,1,Audi,22440
Q2,2019,Manual,2891,Petrol,145,43.5,1,Audi,23496
Q2,2019,Semi-Auto,4781,Petrol,150,43.5,1,Audi,22500
Q2,2019,Manual,5200,Petrol,145,43.5,1,Audi,24000
Q2,2019,Semi-Auto,8928,Petrol,150,43.5,1,Audi,22450
Q2,2020,Manual,1000,Petrol,145,43.5,1,Audi,24000
A3,2019,Automatic,7093,Petrol,145,44.1,1,Audi,20000
A1,2019,Automatic,500,Petrol,145,44.1,1,Audi,23946
A1,2019,Semi-Auto,550,Petrol,145,44.1,1,Audi,24490
A1,2019,Semi-Auto,1000,Petrol,145,44.1,1,Audi,26011
A1,2019,Semi-Auto,1952,Petrol,145,44.1,1,Audi,23995
A1,2019,Automatic,2405,Petrol,145,44.1,1,Audi,22990
A1,2019,Automatic,2555,Petrol,145,44.1,1,Audi,22790
A1,2019,Semi-Auto,5000,Petrol,145,44.1,1,Audi,23950
A1,2020,Semi-Auto,883,Petrol,145,44.1,1,Audi,24990
A1,2020,Manual,1000,Petrol,145,44.1,1,Audi,21450
A1,2020,Automatic,1500,Petrol,145,44.1,1,Audi,25895
A1,2020,Semi-Auto,2500,Petrol,150,44.1,1,Audi,21450
A1,2020,Semi-Auto,2999,Petrol,145,44.1,1,Audi,22250
A1,2020,Semi-Auto,4500,Petrol,145,44.1,1,Audi,22250
Q2,2019,Manual,6971,Petrol,145,44.1,1,Audi,20996
Q2,2019,Manual,10472,Petrol,145,44.1,1,Audi,21226
Kona,2018,Manual,18,Petrol,145,44.1,1,Hyundai,17495
Kona,2018,Manual,19,Petrol,145,44.1,1,Hyundai,16995
Kona,2018,Manual,19,Petrol,145,44.1,1,Hyundai,17495
Kona,2018,Manual,30,Petrol,145,44.1,1,Hyundai,17495
Kona,2018,Manual,76,Petrol,145,44.1,1,Hyundai,16995
Kona,2018,Manual,76,Petrol,145,44.1,1,Hyundai,17495
Kona,2018,Manual,250,Petrol,145,44.1,1,Hyundai,16995
Kona,2018,Manual,3353,Petrol,145,44.1,1,Hyundai,13698
Kona,2018,Manual,4829,Petrol,150,44.1,1,Hyundai,16998
Kona,2018,Manual,5104,Petrol,145,44.1,1,Hyundai,15295
Kona,2018,Manual,5357,Petrol,150,44.1,1,Hyundai,14800
Kona,2018,Manual,5357,Petrol,145,44.1,1,Hyundai,15850
Kona,2018,Manual,5913,Petrol,145,44.1,1,Hyundai,15498
Kona,2018,Manual,6014,Petrol,145,44.1,1,Hyundai,14798
Kona,2018,Manual,6922,Petrol,145,44.1,1,Hyundai,13498
Kona,2018,Manual,6933,Petrol,150,44.1,1,Hyundai,14995
Kona,2018,Manual,7400,Petrol,145,44.1,1,Hyundai,14680
Kona,2018,Manual,7837,Petrol,145,44.1,1,Hyundai,13470
Kona,2018,Manual,8085,Petrol,145,44.1,1,Hyundai,12343
Kona,2018,Manual,8085,Petrol,145,44.1,1,Hyundai,13995
Kona,2018,Manual,8361,Petrol,145,44.1,1,Hyundai,13799
Kona,2018,Manual,8435,Petrol,145,44.1,1,Hyundai,14750
Kona,2018,Manual,8764,Petrol,145,44.1,1,Hyundai,15445
Kona,2018,Manual,8795,Petrol,145,44.1,1,Hyundai,14298
Kona,2018,Manual,8847,Petrol,145,44.1,1,Hyundai,14750
Kona,2018,Manual,8980,Petrol,145,44.1,1,Hyundai,13998
Kona,2018,Manual,9106,Petrol,145,44.1,1,Hyundai,15990
Kona,2018,Manual,9396,Petrol,145,44.1,1,Hyundai,13495
Kona,2018,Manual,9595,Petrol,145,44.1,1,Hyundai,15680
Kona,2018,Manual,9616,Petrol,145,44.1,1,Hyundai,13698
Kona,2018,Manual,9711,Petrol,150,44.1,1,Hyundai,13970
Kona,2018,Manual,9884,Petrol,150,44.1,1,Hyundai,13500
Kona,2018,Manual,9884,Petrol,145,44.1,1,Hyundai,13500
Kona,2018,Manual,10434,Petrol,150,44.1,1,Hyundai,15000
Kona,2018,Manual,10452,Petrol,145,44.1,1,Hyundai,12490
Kona,2018,Manual,10647,Petrol,145,44.1,1,Hyundai,13500
Kona,2018,Manual,10761,Petrol,145,44.1,1,Hyundai,13649
Kona,2018,Manual,10920,Petrol,145,44.1,1,Hyundai,14954
Kona,2018,Manual,11118,Petrol,145,44.1,1,Hyundai,13698
Kona,2018,Manual,11139,Petrol,145,44.1,1,Hyundai,13698
Kona,2018,Manual,11421,Petrol,145,44.1,1,Hyundai,15000
Kona,2018,Manual,11724,Petrol,145,44.1,1,Hyundai,13498
Kona,2018,Manual,11893,Petrol,145,44.1,1,Hyundai,13998
Kona,2018,Manual,12215,Petrol,145,44.1,1,Hyundai,13097
Kona,2018,Manual,12424,Petrol,145,44.1,1,Hyundai,13498
Kona,2018,Manual,12443,Petrol,145,44.1,1,Hyundai,13998
Kona,2018,Manual,12884,Petrol,145,44.1,1,Hyundai,13498
Kona,2018,Manual,13533,Petrol,145,44.1,1,Hyundai,13470
Kona,2018,Manual,13557,Petrol,145,44.1,1,Hyundai,14498
Kona,2018,Manual,13733,Petrol,145,44.1,1,Hyundai,14964
Kona,2018,Manual,14000,Petrol,150,44.1,1,Hyundai,16499
Kona,2018,Manual,14441,Petrol,145,44.1,1,Hyundai,13698
Kona,2018,Manual,14682,Petrol,145,44.1,1,Hyundai,13100
Kona,2018,Manual,14839,Petrol,150,44.1,1,Hyundai,14450
Kona,2018,Manual,16700,Petrol,145,44.1,1,Hyundai,13295
Kona,2018,Manual,19012,Petrol,145,44.1,1,Hyundai,14291
Kona,2018,Manual,32157,Petrol,145,44.1,1,Hyundai,14690
Kona,2019,Manual,10,Petrol,145,44.1,1,Hyundai,15469
Kona,2019,Manual,10,Petrol,145,44.1,1,Hyundai,15495
Kona,2019,Manual,10,Petrol,145,44.1,1,Hyundai,15498
Kona,2019,Manual,10,Petrol,145,44.1,1,Hyundai,15498
Kona,2019,Manual,10,Petrol,145,44.1,1,Hyundai,15498
Kona,2019,Manual,10,Petrol,145,44.1,1,Hyundai,19989
Kona,2019,Manual,15,Petrol,145,44.1,1,Hyundai,15498
Kona,2019,Manual,25,Petrol,145,44.1,1,Hyundai,17950
Kona,2019,Manual,50,Petrol,145,44.1,1,Hyundai,16390
Kona,2019,Manual,50,Petrol,145,44.1,1,Hyundai,16390
Kona,2019,Manual,50,Petrol,145,44.1,1,Hyundai,16999
Kona,2019,Manual,50,Petrol,145,44.1,1,Hyundai,19995
Kona,2019,Manual,150,Petrol,145,44.1,1,Hyundai,14960
Kona,2019,Manual,357,Petrol,145,44.1,1,Hyundai,15995
Kona,2019,Manual,750,Petrol,145,44.1,1,Hyundai,14998
Kona,2019,Manual,879,Petrol,145,44.1,1,Hyundai,15298
Kona,2019,Manual,1001,Petrol,145,44.1,1,Hyundai,13699
Kona,2019,Manual,1442,Petrol,145,44.1,1,Hyundai,15995
Kona,2019,Manual,1642,Petrol,145,44.1,1,Hyundai,15800
Kona,2019,Manual,1750,Petrol,145,44.1,1,Hyundai,15495
Kona,2019,Manual,1850,Petrol,145,44.1,1,Hyundai,14989
Kona,2019,Manual,1990,Petrol,145,44.1,1,Hyundai,15495
Kona,2019,Manual,2000,Petrol,150,44.1,1,Hyundai,19990
Kona,2019,Manual,2006,Petrol,145,44.1,1,Hyundai,15795
Kona,2019,Manual,2160,Petrol,145,44.1,1,Hyundai,15000
